image_id,image_path,annotation_path
000012,JPEGImages/000012.jpg,Annotations/000012.xml
000017,JPEGImages/000017.jpg,Annotations/000017.xml
000023,JPEGImages/000023.jpg,Annotations/000023.xml
000026,JPEGImages/000026.jpg,Annotations/000026.xml
000032,JPEGImages/000032.jpg,Annotations/000032.xml
000033,JPEGImages/000033.jpg,Annotations/000033.xml
000034,JPEGImages/000034.jpg,Annotations/000034.xml
000035,JPEGImages/000035.jpg,Annotations/000035.xml
000036,JPEGImages/000036.jpg,Annotations/000036.xml
000042,JPEGImages/000042.jpg,Annotations/000042.xml
000044,JPEGImages/000044.jpg,Annotations/000044.xml
000047,JPEGImages/000047.jpg,Annotations/000047.xml
000048,JPEGImages/000048.jpg,Annotations/000048.xml
000061,JPEGImages/000061.jpg,Annotations/000061.xml
000064,JPEGImages/000064.jpg,Annotations/000064.xml
000066,JPEGImages/000066.jpg,Annotations/000066.xml
000073,JPEGImages/000073.jpg,Annotations/000073.xml
000077,JPEGImages/000077.jpg,Annotations/000077.xml
000078,JPEGImages/000078.jpg,Annotations/000078.xml
000083,JPEGImages/000083.jpg,Annotations/000083.xml
000089,JPEGImages/000089.jpg,Annotations/000089.xml
000091,JPEGImages/000091.jpg,Annotations/000091.xml
000104,JPEGImages/000104.jpg,Annotations/000104.xml
000112,JPEGImages/000112.jpg,Annotations/000112.xml
000122,JPEGImages/000122.jpg,Annotations/000122.xml
000129,JPEGImages/000129.jpg,Annotations/000129.xml
000133,JPEGImages/000133.jpg,Annotations/000133.xml
000134,JPEGImages/000134.jpg,Annotations/000134.xml
000138,JPEGImages/000138.jpg,Annotations/000138.xml
000140,JPEGImages/000140.jpg,Annotations/000140.xml
000141,JPEGImages/000141.jpg,Annotations/000141.xml
000147,JPEGImages/000147.jpg,Annotations/000147.xml
000153,JPEGImages/000153.jpg,Annotations/000153.xml
000154,JPEGImages/000154.jpg,Annotations/000154.xml
000159,JPEGImages/000159.jpg,Annotations/000159.xml
000161,JPEGImages/000161.jpg,Annotations/000161.xml
000162,JPEGImages/000162.jpg,Annotations/000162.xml
000163,JPEGImages/000163.jpg,Annotations/000163.xml
000164,JPEGImages/000164.jpg,Annotations/000164.xml
000171,JPEGImages/000171.jpg,Annotations/000171.xml
000173,JPEGImages/000173.jpg,Annotations/000173.xml
000174,JPEGImages/000174.jpg,Annotations/000174.xml
000187,JPEGImages/000187.jpg,Annotations/000187.xml
000189,JPEGImages/000189.jpg,Annotations/000189.xml
000192,JPEGImages/000192.jpg,Annotations/000192.xml
000193,JPEGImages/000193.jpg,Annotations/000193.xml
000194,JPEGImages/000194.jpg,Annotations/000194.xml
000198,JPEGImages/000198.jpg,Annotations/000198.xml
000200,JPEGImages/000200.jpg,Annotations/000200.xml
000207,JPEGImages/000207.jpg,Annotations/000207.xml
000209,JPEGImages/000209.jpg,Annotations/000209.xml
000219,JPEGImages/000219.jpg,Annotations/000219.xml
000220,JPEGImages/000220.jpg,Annotations/000220.xml
000222,JPEGImages/000222.jpg,Annotations/000222.xml
000225,JPEGImages/000225.jpg,Annotations/000225.xml
000228,JPEGImages/000228.jpg,Annotations/000228.xml
000235,JPEGImages/000235.jpg,Annotations/000235.xml
000242,JPEGImages/000242.jpg,Annotations/000242.xml
000250,JPEGImages/000250.jpg,Annotations/000250.xml
000256,JPEGImages/000256.jpg,Annotations/000256.xml
000259,JPEGImages/000259.jpg,Annotations/000259.xml
000262,JPEGImages/000262.jpg,Annotations/000262.xml
000263,JPEGImages/000263.jpg,Annotations/000263.xml
000276,JPEGImages/000276.jpg,Annotations/000276.xml
